,QUEHATA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,YANACACHI
2020-08-05 23:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 00:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 01:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 02:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 03:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 04:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 05:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 06:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 07:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 08:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 09:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 10:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 11:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 12:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 13:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-06 14:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
