,2020,CNDC
18/01/2020 10:00,0.423381013,0.417627985
18/01/2020 11:00,0.423737183,0.417585704
18/01/2020 12:00,0.424093353,0.417614355
18/01/2020 13:00,0.424449523,0.417708885
18/01/2020 14:00,0.424805693,0.417863534
18/01/2020 15:00,0.425161863,0.418071956
18/01/2020 16:00,0.425518033,0.418327336
18/01/2020 17:00,0.425874203,0.418622508
18/01/2020 18:00,0.426230373,0.418950073
18/01/2020 19:00,0.426586543,0.419302516
18/01/2020 20:00,0.426942713,0.419672325
18/01/2020 21:00,0.427298883,0.420052108
18/01/2020 22:00,0.427655053,0.420434712
18/01/2020 23:00,0.428011223,0.420813338
19/01/2020 00:00,0.428367393,0.421181664
19/01/2020 01:00,0.428723563,0.421533958
19/01/2020 02:00,0.429079733,0.421865196
19/01/2020 03:00,0.429435903,0.422171144
19/01/2020 04:00,0.429792073,0.422448351
19/01/2020 05:00,0.430148243,0.422694106
19/01/2020 06:00,0.430504413,0.422906397
19/01/2020 07:00,0.430860583,0.423083861
19/01/2020 08:00,0.431216753,0.423225748
19/01/2020 09:00,0.431572923,0.423331874
19/01/2020 10:00,0.431929093,0.423402575
19/01/2020 11:00,0.432285263,0.423438668
19/01/2020 12:00,0.432641433,0.423441405
19/01/2020 13:00,0.432997603,0.42341243
19/01/2020 14:00,0.433353773,0.423353734
19/01/2020 15:00,0.433709943,0.423267615
19/01/2020 16:00,0.434066113,0.423156629
19/01/2020 17:00,0.434422283,0.423023553
19/01/2020 18:00,0.434778453,0.422871335
19/01/2020 19:00,0.435134623,0.422703054
19/01/2020 20:00,0.435490793,0.422521878
19/01/2020 21:00,0.435846963,0.422331014
19/01/2020 22:00,0.436203133,0.422133674
19/01/2020 23:00,0.436559303,0.421933021
20/01/2020 00:00,0.436915473,0.421732133
20/01/2020 01:00,0.437271643,0.421533958
20/01/2020 02:00,0.437627813,0.421341267
20/01/2020 03:00,0.437983982,0.421156626
20/01/2020 04:00,0.438340152,0.420982379
20/01/2020 05:00,0.438696322,0.420820654
20/01/2020 06:00,0.439052492,0.420673358
20/01/2020 07:00,0.439408662,0.42054218
20/01/2020 08:00,0.439764832,0.420428585
20/01/2020 09:00,0.440121002,0.420333822
20/01/2020 10:00,0.440477172,0.420258915
20/01/2020 11:00,0.440833342,0.420204668
20/01/2020 12:00,0.441189512,0.420171664
20/01/2020 13:00,0.441545682,0.420160263
20/01/2020 14:00,0.441901852,0.4201706
20/01/2020 15:00,0.442258022,0.420202589
20/01/2020 16:00,0.442614192,0.420255922
20/01/2020 17:00,0.442970362,0.420330063
20/01/2020 18:00,0.443326532,0.420424254
20/01/2020 19:00,0.443682702,0.420537512
20/01/2020 20:00,0.444038872,0.420668628
