Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
15-Sep,18.30,19.45,17.39,15.95,16.86,16.88,15.20,21.49,
16-Sep,18.70,20.09,17.27,15.87,16.81,16.78,15.16,21.19,
17-Sep,18.77,20.07,17.16,15.80,16.75,16.68,15.11,20.90,
18-Sep,18.59,19.95,17.04,15.73,16.68,16.59,15.06,20.68,0.77
19-Sep,18.42,19.75,16.95,16.28,16.59,16.49,15.01,20.47,
20-Sep,19.04,19.55,16.86,16.88,16.50,16.40,14.97,20.22,
21-Sep,20.92,19.35,16.80,16.80,16.41,16.30,14.93,19.97,
22-Sep,21.99,20.70,16.88,16.68,16.57,16.37,14.95,19.75,
23-Sep,21.73,22.33,16.94,16.57,16.86,16.64,15.06,19.55,
24-Sep,21.39,22.25,16.87,16.46,16.88,16.87,15.10,19.35,
25-Sep,21.08,21.91,16.77,16.36,16.78,16.91,15.05,19.26,0.76
26-Sep,20.80,21.63,16.66,16.26,16.72,16.84,15.00,19.16,
27-Sep,20.51,21.89,16.67,16.20,16.66,16.74,14.95,18.96,
28-Sep,20.28,22.16,17.07,16.15,16.56,16.63,14.91,18.79,
29-Sep,20.11,21.92,17.52,16.10,16.46,16.54,14.88,18.81,
30-Sep,19.92,21.63,17.55,16.04,16.37,16.45,14.85,19.10,
01-Oct,19.68,21.32,17.41,15.96,16.28,16.44,14.83,19.26,
02-Oct,19.54,21.01,17.28,15.89,16.19,16.43,14.87,19.19,1.60
03-Oct,19.63,20.76,17.15,15.88,16.11,16.33,14.90,19.11,
04-Oct,19.68,20.61,17.05,15.89,16.16,17.78,14.90,18.95,
05-Oct,19.62,20.46,17.10,15.83,16.58,19.28,14.89,18.76,
06-Oct,19.53,20.25,17.15,15.76,16.93,19.05,14.85,18.57,
07-Oct,19.32,20.05,17.07,15.93,16.89,18.83,14.83,18.41,
08-Oct,19.16,19.85,17.03,16.13,16.89,18.64,14.82,18.41,
09-Oct,19.24,19.63,16.99,16.07,16.85,18.49,14.79,18.83,2.04
10-Oct,19.31,19.42,16.91,16.04,16.73,18.33,14.77,19.35,
11-Oct,19.30,19.21,16.82,16.00,16.78,18.15,14.76,19.41,
12-Oct,19.52,19.01,16.79,16.14,16.90,18.56,14.73,19.22,
13-Oct,19.66,18.81,16.88,16.54,16.88,18.94,14.70,19.03,
14-Oct,19.49,18.64,17.55,16.73,16.91,18.77,14.69,18.84,
15-Oct,19.30,18.48,18.15,16.63,16.91,18.71,14.68,18.67,
16-Oct,19.12,18.61,18.07,16.56,16.80,19.74,14.65,18.51,1.41
17-Oct,18.91,18.73,18.05,16.74,16.82,20.94,14.62,18.37,
18-Oct,18.79,18.56,18.50,18.19,17.38,20.98,14.59,18.21,
19-Oct,18.68,18.43,18.84,20.45,17.89,20.74,14.56,18.04,
20-Oct,18.49,18.30,18.68,21.43,17.82,20.44,14.53,17.87,
21-Oct,18.32,18.14,18.48,21.53,17.66,20.15,14.50,17.72,
22-Oct,18.20,18.27,18.30,21.33,17.51,20.00,14.61,17.58,
23-Oct,18.58,18.44,18.19,20.95,17.37,20.85,14.72,17.45,1.93
24-Oct,19.10,18.44,18.24,20.60,18.16,21.57,14.70,17.33,
25-Oct,19.08,18.44,18.44,20.33,19.29,22.52,14.71,17.22,
26-Oct,18.87,18.38,18.52,20.10,19.44,23.81,14.71,17.36,
27-Oct,18.67,18.27,18.43,20.17,19.26,23.79,14.68,17.96,
28-Oct,18.47,18.10,18.35,20.48,19.34,23.47,14.72,18.26,
29-Oct,18.60,17.97,18.41,20.52,19.40,23.21,14.78,18.33,
30-Oct,18.80,17.84,18.39,20.32,19.20,22.99,14.90,19.32,2.23
31-Oct,19.16,17.79,18.52,20.07,18.98,22.72,15.02,21.11,
01-Nov,20.44,18.17,19.87,19.80,18.77,22.35,14.99,23.06,
02-Nov,21.13,18.58,20.95,19.56,18.70,22.02,14.94,24.45,
03-Nov,20.77,18.61,21.44,19.32,18.68,21.81,14.90,25.27,
04-Nov,20.46,18.49,23.94,19.10,18.60,21.97,15.09,25.56,
05-Nov,20.39,18.34,25.94,18.93,18.47,22.16,15.35,25.18,
06-Nov,20.33,18.19,25.90,19.13,18.30,21.95,15.36,25.03,1.53
07-Nov,20.18,18.04,25.63,19.64,18.14,21.62,15.30,24.90,
08-Nov,20.27,17.90,25.76,20.02,18.01,21.34,15.24,24.42,
09-Nov,21.20,17.80,25.84,20.30,17.87,21.26,15.20,23.92,
10-Nov,21.98,17.76,25.43,20.35,17.72,22.11,15.16,23.71,
11-Nov,21.75,18.02,24.86,20.37,17.69,22.82,15.11,24.05,
12-Nov,21.41,18.68,24.40,20.41,17.67,22.51,15.06,24.11,
13-Nov,21.10,19.02,23.98,20.20,17.64,22.13,15.17,23.98,1.31
14-Nov,20.80,18.86,23.56,20.18,17.81,21.76,15.51,23.82,
15-Nov,20.51,18.81,23.41,20.13,17.95,21.44,15.85,23.37,
16-Nov,20.23,18.74,24.65,20.79,17.88,23.03,15.92,22.96,
17-Nov,19.98,18.84,26.13,21.76,17.80,24.71,15.90,22.58,
18-Nov,19.77,19.01,27.15,21.80,17.74,29.19,15.88,22.21,
19-Nov,19.57,18.89,28.31,21.53,17.68,33.11,15.89,23.26,
20-Nov,19.45,18.72,29.25,21.84,17.60,32.69,15.89,24.48,1.08
21-Nov,19.78,18.66,29.92,24.32,17.49,32.45,15.92,24.19,
22-Nov,20.17,18.90,30.39,26.10,17.79,32.99,16.15,23.71,
