Scenario,region,id,r,fuel_class,fraction
Historical,NO,2015,33,SUN,0
Historical,NO,2015,33,WIN,0
Historical,NO,2015,33,WAT,0.9858
Historical,OR,1980,1,BIO,0
Historical,OR,1980,1,GAS,1
Historical,OR,1980,1,OIL,0
Historical,OR,1980,1,SUN,0
Historical,OR,1980,1,WIN,0
Historical,OR,1980,1,WAT,0
Historical,OR,1981,2,BIO,0.0001
Historical,OR,1981,2,GAS,0.9999
Historical,OR,1981,2,OIL,0
Historical,OR,1981,2,SUN,0
Historical,OR,1981,2,WIN,0
Historical,OR,1981,2,WAT,0
Historical,OR,1982,3,BIO,0
Historical,OR,1982,3,GAS,1
Historical,OR,1982,3,OIL,0
Historical,OR,1982,3,SUN,0
Historical,OR,1982,3,WIN,0
Historical,OR,1982,3,WAT,0
Historical,OR,1983,4,BIO,0
Historical,OR,1983,4,GAS,1
Historical,OR,1983,4,OIL,0
Historical,OR,1983,4,SUN,0
Historical,OR,1983,4,WIN,0
Historical,OR,1983,4,WAT,0
Historical,OR,1984,5,BIO,0
Historical,OR,1984,5,GAS,1
Historical,OR,1984,5,OIL,0
Historical,OR,1984,5,SUN,0
Historical,OR,1984,5,WIN,0
Historical,OR,1984,5,WAT,0
Historical,OR,1985,6,BIO,0
Historical,OR,1985,6,GAS,1
Historical,OR,1985,6,OIL,0
Historical,OR,1985,6,SUN,0
Historical,OR,1985,6,WIN,0
Historical,OR,1985,6,WAT,0
Historical,OR,1986,7,BIO,0
Historical,OR,1986,7,GAS,1
Historical,OR,1986,7,OIL,0
Historical,OR,1986,7,SUN,0
Historical,OR,1986,7,WIN,0
Historical,OR,1986,7,WAT,0
Historical,OR,1987,8,BIO,0
Historical,OR,1987,8,GAS,1
Historical,OR,1987,8,OIL,0
Historical,OR,1987,8,SUN,0
Historical,OR,1987,8,WIN,0
Historical,OR,1987,8,WAT,0
Historical,OR,1988,9,BIO,0
Historical,OR,1988,9,GAS,1
Historical,OR,1988,9,OIL,0
Historical,OR,1988,9,SUN,0
Historical,OR,1988,9,WIN,0
Historical,OR,1988,9,WAT,0
Historical,OR,1989,10,BIO,0
Historical,OR,1989,10,GAS,1
Historical,OR,1989,10,OIL,0
Historical,OR,1989,10,SUN,0
Historical,OR,1989,10,WIN,0
Historical,OR,1989,10,WAT,0
Historical,OR,1990,11,BIO,0
Historical,OR,1990,11,GAS,1
Historical,OR,1990,11,OIL,0
Historical,OR,1990,11,SUN,0
Historical,OR,1990,11,WIN,0
Historical,OR,1990,11,WAT,0
Historical,OR,1991,12,BIO,0
Historical,OR,1991,12,GAS,1
Historical,OR,1991,12,OIL,0
Historical,OR,1991,12,SUN,0
Historical,OR,1991,12,WIN,0
Historical,OR,1991,12,WAT,0
Historical,OR,1992,13,BIO,0
Historical,OR,1992,13,GAS,1
Historical,OR,1992,13,OIL,0
Historical,OR,1992,13,SUN,0
Historical,OR,1992,13,WIN,0
Historical,OR,1992,13,WAT,0
Historical,OR,1993,14,BIO,0
Historical,OR,1993,14,GAS,1
Historical,OR,1993,14,OIL,0
Historical,OR,1993,14,SUN,0
Historical,OR,1993,14,WIN,0
Historical,OR,1993,14,WAT,0
