,AGUAS CALIENTES II ARENALES,MOLINEROS,CACHUELA ESPERANZA,CHEPETE,EL BALA,MIGUILLAS - PALILLADA,MUNECAS,PH_MADERA,OQUITAS
1980-06-20 00:00:00,0.526323393,0.317596193,0.510088399,0.440434615,0.973765991,8.977899949,0.270591062,0.362995392,0.243479162
1980-06-21 00:00:00,0.515102317,0.312050926,0.499472621,0.424750249,0.889843356,8.770793727,0.263548655,0.355657358,0.23807042
1980-06-22 00:00:00,0.50815721,0.307588606,0.487022019,0.411102483,0.82097411,8.567387179,0.256510339,0.347779973,0.234353714
1980-06-23 00:00:00,0.47403211,0.302193673,0.47539548,0.397729553,0.767910919,8.327210404,0.248729426,0.340000099,0.229357832
1980-06-24 00:00:00,0.441017935,0.296736626,0.464210573,0.394315381,0.734323049,8.152646209,0.241745322,0.33257,0.224137056
1980-06-25 00:00:00,0.412238404,0.291688272,0.455314723,0.390423499,0.708544123,7.988274993,0.235355501,0.326575286,0.220331947
1980-06-26 00:00:00,0.387557385,0.28704411,0.449258295,0.379296162,0.688316134,7.79370236,0.229897508,0.323887202,0.216261179
1980-06-27 00:00:00,0.363061116,0.282691615,0.442380006,0.369226102,0.689821473,7.61604252,0.22494174,0.320623562,0.21147644
1980-06-28 00:00:00,0.330768921,0.278564172,0.433184067,0.359265977,0.661502288,7.450485898,0.219930738,0.31583537,0.206661937
1980-06-29 00:00:00,0.301960219,0.277014918,0.423913374,0.350193473,0.645790315,7.305300132,0.215045547,0.31057832,0.202462218
1980-06-30 00:00:00,0.276722522,0.280147634,0.415152841,0.356648248,0.638922207,7.532641305,0.221146921,0.304146941,0.201391414
1980-07-01 00:00:00,0.26556465,0.282288323,0.409826547,0.383740128,0.62847892,8.825684804,0.237325534,0.299034237,0.20248328
1980-07-02 00:00:00,0.257564528,0.28888233,0.408778756,0.404827981,0.629043422,9.750829733,0.250143022,0.295657031,0.202636389
1980-07-03 00:00:00,0.241471668,0.313751415,0.406834391,0.420015815,0.623304318,10.45210665,0.257575139,0.292187797,0.204648303
1980-07-04 00:00:00,0.225254588,0.331424254,0.403929717,0.425503122,0.630454677,11.24587541,0.255942651,0.288556327,0.211110289
1980-07-05 00:00:00,0.20928935,0.336508616,0.399181263,0.412103816,0.658021192,10.92475884,0.247236047,0.28452909,0.217795908
1980-07-06 00:00:00,0.193994557,0.333473122,0.390928461,0.393730798,0.646637068,10.13604882,0.237833897,0.279497508,0.215043298
1980-07-07 00:00:00,0.179647819,0.321368056,0.381871774,0.377707379,0.61464862,9.522280504,0.22975533,0.273987346,0.207888516
1980-07-08 00:00:00,0.169394488,0.309316101,0.373448002,0.364547677,0.608815432,9.096969039,0.223054559,0.268674412,0.201838268
1980-07-09 00:00:00,0.166912773,0.299177083,0.365823308,0.381889013,0.698853505,10.38354943,0.230887639,0.263828113,0.205474064
1980-07-10 00:00:00,0.163149969,0.298436214,0.36433244,0.409054096,0.810060404,11.87965217,0.246182499,0.261201965,0.215501345
1980-07-11 00:00:00,0.163277592,0.297140818,0.364889799,0.417385776,0.845247697,11.69519701,0.264165441,0.259551129,0.213804346
1980-07-12 00:00:00,0.198047855,0.291212963,0.361904495,0.410720641,0.789738331,11.08724247,0.270160437,0.256541951,0.209337643
1980-07-13 00:00:00,0.221734875,0.283911394,0.356104189,0.392340458,0.723409343,10.4040109,0.258896677,0.252675151,0.204605197
1980-07-14 00:00:00,0.20601443,0.283445988,0.348104388,0.385059218,0.672886412,9.831694029,0.247616552,0.248292017,0.198161921
1980-07-15 00:00:00,0.189539431,0.283393776,0.342347381,0.379269459,0.637040534,9.375048593,0.237530107,0.244566407,0.192607164
1980-07-16 00:00:00,0.175066528,0.274638374,0.336995391,0.364423479,0.61286103,8.958571042,0.228741674,0.241099165,0.186517105
1980-07-17 00:00:00,0.164304894,0.266297068,0.329997761,0.350688116,0.593762045,8.60725305,0.22085336,0.237108163,0.183159577
1980-07-18 00:00:00,0.15380677,0.261378344,0.323281084,0.338775603,0.575227562,8.303124773,0.213713781,0.23320241,0.180524836
1980-07-19 00:00:00,0.144241144,0.256555941,0.316970311,0.328135288,0.558480669,8.034785177,0.207292251,0.229506469,0.177661117
1980-07-20 00:00:00,0.139480208,0.252706662,0.311012513,0.318536099,0.550483557,7.794834913,0.201456822,0.226008539,0.185837499
